Book Number	Title
757	Wesak Handa
758	Navaka wadaya saha navaka Sathuta
759	Manava Poshanaya
760	Manava Poshanaya
761	Manava Poshanaya
762	Manava Poshanaya
763	Manava Poshanaya
764	sinhala vishvakoshaya-2 Kandaya
765	sinhala vishvakoshaya-2 Kandaya
766	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
767	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
768	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
769	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
770	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
771	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
772	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
773	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
774	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
775	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
776	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
777	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
778	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
779	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
780	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
781	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
782	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
783	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
784	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
785	Easy Guide to Katsu Training for Your Health,Beauty,& anti-Ageing
786	Kaatsu Training-Theoretical & Practical Pepectives
787	Kaatsu Training-Theoretical & Practical Pepectives
788	Kaatsu Training-Theoretical & Practical Pepectives
789	Kaatsu Training-Theoretical & Practical Pepectives
790	Kaatsu Training-Theoretical & Practical Pepectives
791	Kaatsu Training-Theoretical & Practical Pepectives
792	Kaatsu Training
793	Undetanding Nuing Research
794	Undetanding Nuing Research
795	Undetanding Nuing Research
796	Undetanding Nuing Research
797	Undetanding Nuing Research
798	Medical Microbiology
799	Medical Microbiology
800	Medical Microbiology
801	Medical Microbiology
802	Medical Microbiology
803	Leadehip & management for nues
804	Leadehip & management for nues-2 ed
805	Leadehip & management for nues-2 ed
806	Leadehip and Management for Nues
807	Leadehip & management for nues-2 ed
808	Principles of Anatomy & Physiology
809	Principles of Anatomy & Physiology
810	Principles of Anatomy & Physiology Maintence andcontinuity of the Human Body
811	Principles of Anatomy & Physiology
812	Principles of Anatomy & Physiology
813	Pharmacology-Connections to Nuing Practice-2 nd Ed
814	Pharmacology-Connections to Nuing Practice
815	Pharmacology-Connections to Nuing Practice
816	Pharmacology-Connections to Nuing Practice
817	Pharmacology-Connections to Nuing Practice
818	Methisabaye Ranahanda Nimal
819	Textbook of Sociology for Nuing Students
820	The Layman's Guide to Foot & Heel Pain
821	Medical Genetics
822	Wrist Ankle Acupuncture
823	Clinical Acupuncture
824	Essential Communication in Nuing
825	Acupuncture-The Fourteen Channels
826	Communication Skills for the Health Care Professiona-concepts,practice,& evidencel
827	Textbook of Pharmacognosy
828	Lasertherapy
829	Textbook of Pharmacognosy
830	Dacie & Lewis Practical Haematology
831	Leadehip & the one Minitue Mnager
832	Systems of Psychotherapy
833	Principles & practice of Rheumatology
834	Clnical Biochemistry
835	Cognitive Psychology
836	The gods I' am Yet ot meet
837	What The Buddha Taught
838	Living with violence
839	Asian Security
840	The 2007 Red List of Threatened Fauna & Flora of Sri Lanka
841	The 2007 Red List of Threatened Fauna & Flora of Sri Lanka
842	A Complete Workbokk on Clinical Biochemistry
843	Birds of Sri Lanka
844	Chemistry of natural Products
845	Biochemistry:Instant Notes for Medical Students
846	Inorganic Chemistry
847	The Psyche in Chinese Medicine
848	PLZEN
849	ARCTIC transitoions
850	Modern Reflexology
851	Modern Reflexology
852	Modern Reflexology
853	Modern Reflexology
854	Modern Reflexology
855	Modern Reflexology
856	Modern Reflexology
857	Modern Reflexology
858	Modern Reflexology
859	Modern Reflexology
860	Current Issues in Nuing-8 th Ed
861	Current Issues in Nuing-8 th Ed
862	Current Issues in Nuing-8 th Ed
863	Current Issues in Nuing-8 th Ed
864	Current Issues in Nuing-8 th Ed
865	Yitz Clinical Guide to Laboratory Tests
866	Introductory Medical-Surgical Nuing
867	Introductory Medical-Surgical Nuing
868	Introductory Medical-Surgical Nuing
869	Introductory Medical-Surgical Nuing
870	Introductory Medical-Surgical Nuing
871	Cunningham's Manual of Practical Anatomy
872	77 prague Legends-1s Ed
873	Dacie & Lewis Practical Haematology
874	Dacie & Lewis Practical Haematology
875	The Behind the Syndrome
876	House Insignia of Nacient Prague
877	Gray's Anatomy for Students
878	LifeExtension revoulution
879	The Layman's Guide to  Chronic DiseasesFoot & Heel Pain
880	Infection & Immunity
881	Biochemistry &Clinical Pathology
883	Handbook of Psycological Assesment
884	Forensic ZPsychology
885	Social Psychology- 2 nd Ed
886	SPSS for the health&behavioral Sciences
887	Psychological Testing-History,Principles,&Applications
888	Psychology-Concepts & Connections
889	Manual of Geriatric Nuing
890	Leading And Managing in Nuing
891	Leading And Managing in Nuing
892	Leading And Managing in Nuing
893	Leading And Managing in Nuing
894	Leading And Managing in Nuing
895	The Teaching of Buddha(Japanese-English)
896	The Teaching of Buddha(Japanese-English)
897	Budunvahansege Dharmaye Eganveem
898	Discover four Seasons-(2102-2013)
899	Best of Germany Deutschland
900	The Life of Budha for Children
901	Pulse of nation-President Mahinda Rajapaksa on National & International Affai
902	Pulse of nation-President Mahinda Rajapaksa on National & International Affai
903	KIU-Intensive English
904	KIU-Intensive English
905	KIU-Intensive English
906	KIU-Intensive English
907	KIU-Intensive English
908	KIU-Intensive English
909	KIU-Intensive English
910	KIU-Intensive English
911	KIU-Intensive English
912	KIU-Intensive English
913	KIU-Intensive English
914	KIU-Intensive English
915	KIU-Intensive English
916	KIU-Intensive English
917	KIU-Intensive English
918	KIU-Intensive English
919	KIU-Intensive English
920	KIU-Intensive English
921	KIU-Intensive English
922	KIU-Intensive English
923	KIU-Intensive English
924	KIU-Intensive English
925	KIU-Intensive English
926	KIU-Intensive English
927	KIU-Intensive English
928	KIU-Intensive English
929	KIU-Intensive English
930	KIU-Intensive English
931	KIU-Intensive English
932	KIU-Intensive English
933	KIU-Intensive English
934	KIU-Intensive English
935	KIU-Intensive English
936	KIU-Intensive English
937	KIU-Intensive English
938	KIU-Intensive English
939	KIU-Intensive English
940	KIU-Intensive English
941	KIU-Intensive English
942	KIU-Intensive English
943	KIU-Intensive English
944	KIU-Intensive English
945	KIU-Intensive English
946	KIU-Intensive English
947	KIU-Intensive English
948	KIU-Intensive English
949	KIU-Intensive English
950	KIU-Intensive English
951	KIU-Intensive English
952	KIU-Intensive English
953	KIU-Intensive English
954	KIU-Intensive English
955	KIU-Intensive English
956	KIU-Intensive English
957	KIU-Intensive English
958	KIU-Intensive English
959	KIU-Intensive English
960	KIU-Intensive English
961	KIU-Intensive English
962	KIU-Intensive English
963	KIU-Intensive English
964	KIU-Intensive English
965	KIU-Intensive English
966	KIU-Intensive English
967	KIU-Intensive English
968	KIU-Intensive English
969	KIU-Intensive English
970	KIU-Intensive English
971	KIU-Intensive English
972	KIU-Intensive English
973	KIU-Intensive English
974	KIU-Intensive English
975	KIU-Intensive English
976	KIU-Intensive English
977	KIU-Intensive English
978	KIU-Intensive English
979	KIU-Intensive English
980	KIU-Intensive English
981	KIU-Intensive English
982	KIU-Intensive English
983	Modern Reflexology
984	Chinese Acupuncture & Moxibustion
985	Mahajan's Methods in Biostatistics for Medical Students & Research Worke
986	Mahajan's Methods in Biostatistics for medicala Students & Research Works
987	Communication & Educational Technology for nues
988	Nuing Research
989	nuing research
990	Textbook of Nuing Research &Statistics
991	Lippincott's Illustrated Reviews Biochemistry-6 th ed
992	Clinical Pharmaclogy
993	Textbook of PATHOLOGY- 7TH ED
994	Mcqs in Biomechanics & Occupational Therapy
995	Essentials of Community Health Nuing
996	Churchill Livingstone Medical Dictionary
997	Pocket Mwdical Dictionary
998	BNF-71 March-Sep 2016
999	Radical English for Nues
1000	Nutrition & Dietetics
1001	Bachelor of Science Degree in Nuing
1002	Bachelor of Science Degree in Nuing-Psychology
1003	Bachelor of Science Degree in Nuing  -Nutrition
1004	Bachelor of Science Degree in Nuing-Psychology
1005	Bachelor of Science Degree in Nuing-Trends and issues in nuing
1006	Bachelor of Science Degree in Nuing-Management in nuing Practice
1007	Bachelor of Science Degree in Nuing-Magement in Nuing Practicee   g
1008	Bachelor of Science Degree in Nuing-Trends and issues
1009	New era magement
1010	Nuing research-Genrating and assessing,evidence for nuing practice-10 ed
1011	Nuing Research-Generating and assessing Evidence Practic-10 ede
1012	Nuing Leadehip & Management"Theories,Processes,and Practice
1013	Nuing Leadehip & Management"Theories,Processes,and Practice
1014	Managing Organisations
1015	Managing Organisations
1016	Managing Organisations
1017	Managing Organisations
1018	Managing Organisations
1019	Business Statistics
1020	Business Statistics
1021	Business Statistics
1022	Business Statistics
1023	Business Statistics
1024	Research Methodology
1025	Research Methodology
1026	Research Methodology
1027	Research Methodology
1028	Research Methodology
1029	Principles of Marketing
1030	Principles of Marketing
1031	Principles of Marketing
1032	Principles of Marketing
1033	Principles of Marketing
1034	New Era of Management
1035	New Era of Management
1036	New Era of Management
1037	New Era of Management
1038	New Era of Management
1039	Concise Medical Dictionary
1040	Managerial Economics principles
1041	Managerial Economics principles
1042	Managerial Economics principles
1043	Vimanavasthu Prakaranaya
1044	Dunn's Surgical Diagnosis and management
1045	Pathology Illustrated
1046	Handbook of Anaesthesia
1047	Oxford Handbook of Clinical Surgery
1048	Concise Colour Medical Dictionary
1049	Nuing Reseach
1050	The 48  law of POWER
1051	Peace,Power,Righteousness
1052	High Spirits
1053	Manas sithuwama
1054	Sambhasha-Teerulipi
1055	Amuthu ilandariya saha sahithya vichara chinthavlie
1056	Thimbiriyagama Nirmana Alochana
1057	Binduwe sita ananthaya dakwa bindak
1058	A concise Textbook of Pharmacology
1059	Clinical Microbiology for paramedical Undergraduates
1060	Cognition-Theory & Application -7 th ed
1061	Abnormal Psychology
1062	Psychology of Language
1063	A History of Modern Psychology  9 th edh
1064	A History of Modern Psychology  11 th edh
1065	The Research Process
1066	Undetanding Research Methods
1067	Methods of Educational & Sccial Science Research
1068	Undetanding Occupanional & Organizational Psychology
1069	Undetanding Emotions
1070	Principles of Pediatric Nuin-5 th ed d
1071	Health Communication- 3rd ed
1072	Mary Sherdan's
1073	Health Psychology-The social Context of Health
1074	Physiology & Anatomy for Nues & Healthcare Practitione
1075	Identifying Emotional Psychological Abuse
1076	Introductory Maternit Nuing
1077	Research Methods for Nues & the careing Professions-2nd ed
1078	Research Methods for Nues & the careing Professions-2nd ed
1079	Physiology & Anatomy- 3rd ed
1080	The Practice of Nuing Research
1081	Satistical Methods for Practice & Research
1082	General Microbiology
1083	Computer Architecture
1084	Computer Architecture
1085	Computer Architecture
1086	Dreamweaver cc-The missing manual
1087	Systems Analysis & Design
1088	Database system 3 rd ed
1089	Oracle-2 nd edition
1090	UML-With Rational Rose
1091	Microsoft ASP Net
1092	Introduction to ABAP/4 Programming
1093	Java 2 from Scratch
1094	Distributed Systems Principal and....
1095	Using HTML-4 Java1.2
1096	Business Studies-3 rd edi
1097	Data & Computer Communication-6 th ed
1098	Teach youelf Java-2 Platform
1099	An Introduction to Systems Analysis
1100	Systems Analysis & Design
1101	Professional Assembly Language
1102	Principles & practice of intergrated clinical neurology
1103	Principles & practice of intergrated clinical neurology
1104	Man salakunu
1105	Japan basata nethuwama beri KANJI
1106	Psychology An Introduction
1107	Ross & wilson Anatomy & Physoilogy in Health & Illness-12 th Edition
1108	Ross & wilson Anatomy & Physoilogy in Health & Illness-12 th Edition Waug
1109	Ross & wilson Anatomy & Physoilogy in Health & Illness-12 th Edition
1110	Ross & wilson Anatomy & Physoilogy in Health & Illness-12 th Edition
1111	Ross & wilson Anatomy & Physoilogy in Health & Illness-12 th Edition
1112	Ross & wilson Anatomy & Physoilogy in Health & Illness-12 th Edition
1113	Systems Analysis & Design
1114	Systems Analysis & Design
1115	Phychology- 5 th Edition
1116	Phychology- 5 th Edition
1117	Management
1118	Management
1119	Management
1120	Phychological Testing
1121	Clinical Acupuncture
1122	BNF-63 March
1123	BNF for childre-2010-2011
1124	Marketing Management-15 th edi
1125	Principles of Marketing
1126	Economis for Today's world
1127	Principles of Macroecnomics- 5 ht edi
1128	Theories of Peonality
1129	Managerial Satistics
1130	Social Psychology & Human Nature
1131	Textbook of Pathology- 7 th Edition
1132	The Psychology of Health/An Introduction
1133	Windows Server Administration
1134	Principles of Marketing -A south Asian Perpective
1135	Poojawaliya
1136	Sundara vu Sathpurusha Boomiyata Peminemu
1137	Oushadhiya shaka 100 k
1138	Sri Lankave Osu Pela ha Wal Peleti
1139	Parisara vinashaya Saha Sanrakshanaya
1140	Pruthuvi Wayugolaya Kalagunaya Ha Deshagunaya
1141	Parisarika Shabdakoshaya
1142	Sagaraya
1143	Dilindu Uwath Jayagatha Heka
1144	Dilindu Uwath Jayagatha Heka
1145	vismitha japanaye sundara athdekeem
1146	Jalaya lokaye jeevaya
1147	Dew Gee kekulu
1148	Parisaraye heta dawasa
1149	Daro mo oshienakatta honmono no daietto
1150	Hikyori ga nobiru" kkatsu Gorufu" :dvd Bok"
1151	Kaatsu toreninguno kiseki
1152	Kaatsu toreninguno kiseki
1153	Sasatto wakaru "kaatsu toreningu" kiseki
1154	Sasatto wakaru "kaatsu toreningu" kiseki
1155	Dare mo oshienakatta,honmono nodaieetto
1156	Dare mo oshienakatta,honmono nodaieetto
1157	Kaatsu toreninguno kiseki
1158	Kaatsu Byuti DVD book
1159	A History of Modern Psychology-9 th edi:
1160	Ashitade wa osaku sugiru
1161	Boku
1162	konpon kemko fundamentaru
1163	Tate
1164	Aidzu Yasunari
1165	Oyagu no ni, anzen demo tekisetsude mo arimamasen
1166	Honmono no yoji Kyoiku to wa
1167	Honmono no yoji Kyoiku to wa
1168	Honmono no yoji Kyoiku to wa
1169	Hari Potta to kenja no ishi
1170	Introduction to Nuing Fundamentals
1171	Medical Terminology,Communication & Ethics
1172	Basic Principles of Care -Nuing
1173	Ethics , History & Trends in Nuing
1174	Research
1175	Community Health Nuing 1
1176	Health Communication
1177	Essentials in Pharmacology
1178	Advance Clinical Practicum in nuing
1179	Introduction to the Ethics in science and Technology
1180	Mikhail gorbachev Manifesto for the earth
1181	Mikhail gorbachev Prophet of Change
1182	Psychological Testing
1183	Business Enviroment
1184	Business Environment
1185	Gray's Anatomy for Students
1186	Organizational Behavior
1187	Organizational Behavior
1188	Management Information Systems
1189	Management Information Systems
1190	Ganong's Review of Medical Physiology
1191	Ganong's Review of Medical Physiology
1192	Psychological Testing
1193	Chithrapata nishpadanaya saha pasuthala nirmanaya
1194	Chithrapata nishpadanaya saha pasuthala nirmanaya
1195	Chithrapata nishpadanaya saha pasuthala nirmanaya
1196	Chithrapata nishpadanaya saha pasuthala nirmanaya
1197	Janamathaye mahagedara
1198	Asia oldest Democracy
1199	Sri lanka Parliment (sinhala)
1200	Sri lanka Parliment(Tamil)
1201	The Parliment of sri lanka Pa
1202	management and cost Accounting
1203	management and cost Accounting
1204	Gary's Anatomy
1205	Text book of pathlogy
1206	Text book of pathlogy
1207	Text book of pathlogy
1208	Robbins patholigic Basis of Dissease
1209	Robbins patholigic Basis of Dissease
1210	Robbins patholigic Basis of Dissease
1211	Robbins patholigic Basis of Dissease
1212	Hoffbrand's Essential HAEMATOLOGY
1213	Lippincot illustraed reviews biochemisstry
1214	PHARMACOLOGY 8 TH DEI
1215	Harpe illusrtated Biochemistry
1216	Clinical Chemistry
1217	Ethics in Nuing Practice
1218	The cambridge Dictionary of Philosophy
1219	Mnagement and Leadehip for Nue Manage
1220	Critical Thinking
1221	Linking Reasearch & Practice in midwifery
1222	Canadian Nuing Issues and Presspectives
1223	Undetanding Nuing Research
1224	Theendui Niwaranai
1225	Ape Kalaye Deshapalanaye Arthikaya
1226	Clinical pharmacology
1227	Mims, Medical Microbiology
1228	Manson's Tropical Diseases
1229	Cellular & Molecular IMMUNOLOGY
1230	A fool and his money
1231	Fortune Strategy
1232	The Money Maste
1233	Stock Market Rules
1234	Basic Marketing
1235	Business@ The Speed of Thought
1236	Investing in Growth
1237	The Money Fool Investment Guide
1238	24 Essential Lessons for invesment Success
1239	THe little Book  that Beats the Market
1240	The Astute-Private investorJackson Kevin Goldstein
1241	Human resource management
1242	Services Marketing
1243	Management Information Systems
1244	Research Methods for Business - A Skill -Building Approach
1245	Managerial Economics
1246	Strategic Management concept and cases
1247	Consumer Behavior
1248	Effective Business Communication
1249	Business statistics a Fit Coue
1250	Organizational Behavior
1251	Financial Management
1252	Organizationa Behavior
1253	Advertising & IMC
1254	Intergrated Advertising,Promotion & Marketing Communications
1255	Ross & Wilson Anaatomy & Physiology in Health & Illness
1256	Ross & Wilson Anaatomy & Physiology in Health & Illness
1257	Ross & Wilson Anaatomy & Physiology in Health & Illness
1258	Ross & Wilson Anaatomy & Physiology in Health & Illness
1259	Ross & Wilson Anaatomy & Physiology in Health & Illness
1260	Reaserch Methodology
1261	Principles of marketting
1262	Undetanding Nuing Research
1263	Undetanding Nuing Research
1264	Services Marketing
1265	Strategic Management Cocncepts & Cases
1266	Concepts in Strategic Management & Business Policy
1267	Principles of Macroeconnmics with coueMate
1268	Adolescence-12 th edition
1269	RAPIDS
1270	RAPIDS
1271	RAPIDS
1272	Cisco CCCENT CCNA
1273	Cisco CCENT CCNA
1274	BNF
1275	food and nutrition
1276	food and nutrition
1277	BNF
1278	Abnormal Psychology
1279	Abnormal Psychology
1280	Basis of Pediatrics
1281	Basis of Pediatrics
1282	Nursing Informatics & the foundation of knowledge
1283	Nursing Informatics & the foundation of knowledge
1284	Basis of Pediatrics Nutrition
1285	Basis of Pediatrics Nutrition
1286	Gynaecology by ten teache
1287	Lippincott Illustrated Reviews
1288	Lippincott Illustrated ReviewsPharmacology
1289	Biological Psychology -12 ed
1290	PSYCHOLOGY
1291	Reaserch Methods forbusiness-6 ed
1292	supply chain management-strategy,planning,operation
1293	research Method for Business Students
1294	Human resource management
1295	Organizationa Behavior
1296	Organizationa Behavior-16 ed
1297	Horngren's Cost Accounting
1298	macroeconomics
1299	Principles of Macroeconnmics with coueMate
1300	management and cost Accounting
1301	Principles of marketting
1302	Reaserch Methodology
1303	Gray's Anatomy for students
1304	Lippingcott Q & A Review NCLEX-RN
1305	Saunde Q & A Review for the NCLEX-RN Examination
1306	Essentials of kumar & Clarkk's Clinical Medicine
1307	Rang& Dale Pharmacology 8 ed
1308	The Concise Handbo0k of Human A
1309	Pre Test Obstetrics & Gynecology
1310	Business  communications
1311	Psychiatry
1312	Hacker & Moore's Essentials of Obstetrics & Gynaecology
1313	Text book of Gyanecology
1314	Medicine for outdoo
1315	Donald School Text book of Ultrasound in Obstrtrics & Gynaecology
1316	Obstertrics By ten Reache
1317	Obstetrics Illustrared
1318	Gynaecology illustrated
1319	Problem Based Psychiatry
1320	The Complete Psychiatrist
1321	Psychiatric Mental Health Nuing
1322	Fundamentals Surgical Pathology
1323	Gynaecology By ten Teaches
1324	Nitrition across the Life Span
1325	Medical Terminology for health carres
1326	concise Anatomy Physiology
1327	Text book of Medical Physiology
1328	Ghai Essential Pediatrics
1329	Biochemistry
1330	concise textbook of Psychiatry
1331	Lippincott Illustrated Reviews Biochemistry
1332	Business Research
1333	Global Marketing-4 ed
1334	Marketing & Business Strategy
1335	Marketing Research
1336	Cases in the Enviorment of Business
1337	cost accounting
1338	Business Accounting 1
1339	Counseling
1340	Principles of Management finance
1341	Business Statistics A fit Coue
1342	Economic Enviorment of busuness
1343	The International business enviorment
1344	Management Information Systems
1345	research Method for Business Students
1346	research Method for Business
1347	Investments
1348	Financial Management
1349	Organizational Behavior
1350	Human resource management
1351	International Human Resource Mnagement
1352	Fundamental of Management
1353	Fundamental of Management
1354	Entrepreneuhip
1355	Entrepreneuhip
1356	Concepts in Strategic Management & Business Policy
1357	Concepts in Strategic Management & Business Policy
1358	Human resource management
1359	Human resource management
1360	Organizationa Theory Change & Design
1361	Organizationa Theory Change & Design
1362	Financial Management
1363	Financial Management
1364	Consumer Behavior
1365	Consumer Behavior
1366	Psychology
1367	Jack Ma(Founder ceo of the Alibaba Group)
1368	Organization Theory A public & Nonprofit Perspectives
1369	Introduction to Auditing
1370	Working capital Management
1371	Understanding Business Information System
1372	Value Innovation...
1373	Reward Management
1374	Organization Theory
1375	International Business-competing in the global Marketplace
1376	Why Are webad at packing good leaders
1377	Why Are We bad at picking good Leaders?
1378	The Leadership Experience
1379	The Leadership Experience
1380	Management Principles & Practices
1381	Management Principles & Practices
1382	Principle sof Human resource management
1383	Principles of human resource management
1384	Costing An Introduction
1385	Investments
1386	Strategic Human Resources Plannihg
1387	Strategic human resources planning
1388	Theory And Problems in Financials Managemenr
1389	Theory & problems in financial management
1390	Ross & Wilson Anatomy & Physiology
1391	Ross & Wilson Anatomy & Physiology
1392	Ross & Wilson Anatomy & Physiology
1393	Ross & Wilson Anatomy & Physiology
1394	Ross & Wilson Anatomy & Physiology
1395	psychitry by ten teacchers
1396	Psychitatry
1397	Obstertics illustrated
1398	Kumar & Clerks Clinical
1399	Obstertics By ten teachers
1400	Robbins basic pathology
1401	Lippincot illustrated Biochemistry
1402	Rang & Dale Pharmacology
1403	bnf .
1404	BNF 72
1405	Text book of Family Medicine
1406	Essentials of Haematology
1407	Gynecology by Ten Teachers
1408	sociology for Health Professionals
1409	First aid & Patient safety(with mcqs)
1410	Clinical Pharmacology
1411	Clinical Pharmacology
1412	Obstetrics & gynecology
1413	Paniker 's Textbookof Medical parasitology
1414	A Manual of Laboratory & Diagnostic Tests
1415	Shoter Oxford Textbook of Psychiatry
1416	@ Marketing
1417	Psychology
1418	Bio Chemistry
1419	Shoter Oxford Textbook of Psychiatry
1420	Clinical Chemistry
1421	Pharmacology
1422	Nursing
1423	Central Bank Annual Report
1424	Annual Report
1425	Central Bank Annual Report 1
1426	Annual Report-2017
1427	Ape rajun  gana nodath Katha- Devanampiya  thissa
1428	Ape rajun  gana nodath Katha-Keerthi Sri Nisshankamalla rajathuma
1429	The Practically Cheating Statistics Handbook
1430	Basic Epidomology
1431	Basic Statistical Analysis
1432	Marketing Research Text & cases
1433	Professional Issues In Nursing -Challenges & Opportunities
1434	Primary Health Care-Theory & Practice
1435	Ross & Wilson anatomy and Physiology
1436	Ross & Wilson Anatomy & Physiology
1437	Ross & Wilson Anatomy & Physiology
1438	Ross & Wilson Anatomy & Physiology
1439	Ross & Wilson Anatomy & Physiology
1440	Ross & Wilson Anatomy & Physiology
1441	Ross & Wilson Anatomy & Physiology
1442	Ross & Wilson Anatomy & Physiology
1443	Ross & Wilson Anatomy & Physiology
1444	Ross & Wilson Anatomy & Physiology
1445	Ross & Wilson Anatomy & Physiology
1446	Anatomy & Physiology for Nurses
1447	ANGANPORA
1448	Leading Managing in Nursing
1449	Communication in Nursing
1450	Anatomy and Physiology In Health and Illness
1451	Community Health Nursing
1452	Mims Medical Microbiology
1453	Leadership &Management for Nurses
1454	THE PRACTICE OF NURSING RESEARCH
1455	PHARMACOLOGY ,CONNECTIONS TO NURSING PRACTICE
1456	Effective Leadership and Management In Nursing
1457	MEDICAL SURGICAL NURSING
1458	Principles of Anatomy & Physiology
1459	THE PRACTICE OF NURSING RESEARCH
1460	Gerontological Nursing
1461	Understanding Nursing Research
1462	Current Issues In Nursing
1463	Nursing Theorists and their work
1464	Introductory-MEDICAL -SURGICAL NURSING
1465	Mims'MEDICAL MICROBIOLOGY
1466	Nursing care of Children
1467	Heladiv nam gam waruna
1468	Adyapana Kalamanakarana Padartha kshaya-Dictionary of education Managemnet
1469	mihikathage diyaniwaruni
1470	The Tipping Point
1471	Textbook of medical parasitology
1472	Critical care nursing
1473	Pibidena boralasgamuwa
1474	Sinhala - English Bilingual Thesaurus
1475	Nursing Delegation & Management of Patient Care
1476	Leadership roles & Management functions in Nursing
1477	easy guide to KAATSU TRAINING
1478	Interpersonal Relationships -Professional Communication Skills for Nurses
1479	Anatomy & Physiology for Nurses
1480	Anatomy & Physiology for Nurses
1481	cultural Diversity in health & Illness
1482	New Era of MANAGEMENT with course mate
1483	Principles of ECONOMICS with courseMate
1484	economics
1485	Principles of marketing
1486	Human resource management
1487	Supply Change Management
1488	Organizal Behavio
1489	Organizational  Behavior
1490	Research Methods for business
1491	Principles of Corporate finance
1492	Project Management
1493	International Business-competing in the global Marketplace
1494	Strategic Management & Business Policy
1495	adult Development and aging
1496	Managerial Accounting
1497	Theories of Personality
1498	Research Methods for business Students
1499	Fundamentals of Statistics
1500	Culture & Mental illness
1501	Introduction of Personality
1502	Behavior Modification Principles and Procedueres
1503	Introduction to Psychology
1504	Understanding Abnormal Behavior
1505	Social Psychology & Human Nature Brief Version
1506	Principles of Neuropsychology
1507	Abnormal Psychology
1508	Health Psychology
1509	Psychology and Contemporary
1510	Research Methods
1511	Development  through Life
1512	Life Development A Psycho-social Approach
1513	Introduction to Psychology
1514	Focus on Psychology
1515	Abnormal child Psychology
1516	Biological Psychology
1517	The Psychology
1518	Our Sexuality
1519	Psychology Concepts & Connections
1520	Stress Health & well-being Thriving in the 21 st Century
1521	comparing Theories of Child Development
1522	Fundamentals of Biostatistics
1523	Lippincott illustrated Reviews Biochemistry
1524	Lippincott illustrated Reviews Biochemistry
1525	Robbins & cotran Pathologic Basis of Disease vol 1
1526	Robbins & cotran Pathologic Basis of Disease vol 1
1527	Robbins & cotran Pathologic Basis of Disease vol 1
1528	Robbins & cotran Pathologic Basis of Disease vol 11
1529	Textbook of Pathology
1530	Pathology Quick Review & Mcqs
1531	Mim's Medical Microbiology
1532	Mim's Medical Microbiology
1533	Practical Hematology
1534	Practical Hematology
1535	Basis of Pediatrics
1536	Hoffbrand's Essential HEAMATOLOGY
1537	Hoffbrand's Essential HEAMATOLOGY
1538	Obstetrics & Gynecology
1539	Obstetrics & gynecology
1540	Harper's Illustrated Biochemistry
1541	Harper's Illustrated  Biochemistry
1542	Harper's Illustrated  Biochemistry
1543	Rang & d=Dale's Pharmacology
1544	Rang & dale's Pharmacology
1545	Obstetrics illustrated
1546	obstetrics Illustrated
1547	BNF-76
1548	BNF-76
1549	Biochemistry
1550	Biochemistry
1551	Biochemistry for Nurses
1552	case files anatomy
1553	Illustrated textbook of Paediatrics
1554	Practical health promotion
1555	MCQs in Obstetrical nursing including neonatology
1556	MCQs in Midwifery
1557	Anatomy & Physiology for Nurses
1558	Biochemistry for Nurses
1559	The Concise handbook of human anatomy
1560	Paediatric nursing Q&A
1561	Q&A in Paediatric and psychiatric nursing
1562	Anatomy MCQs (Vol 2)
1563	Pathology
1564	Clinical Oriented Anatomy Vol.1
1565	Clinical Oriented Anatomy Vol.2
1566	Clinical Oriented Anatomy Vol.3
1567	Clinical Pharmacology
1568	Cellular & Molecular Immunology
1569	Clinical Chemistry
1570	Interpretation
1571	Interpretation
1572	Business accounting 2
1573	Advanced Web Metrics with Google Analytics
1574	How to write a Thesis
1575	The Practise of Social Research
1576	Foreigh Direct Investment prospects for Economic development in Sri Lanka
1577	Management Theory & Practises
1578	Kiduru Laya
1579	Foreign Direct Investment
1580	Foreign Direct Investment in Sri Lanka
1581	Sensation & Perception
1582	economics for Business
1583	macroeconomics
1584	Strategic supply Management
1585	International Business-The Challenges of Globalization
1586	Clinical Microbiology for paramedical undergraduates
1587	HOLISTIC NURSING-A hand book for Practice
1588	Business Ethics
1589	Business Ethics
1590	Staining Techniques in Microbiology
1591	General Microbiology for Paramedical Undergraduates
